raca,sexo,turno_parto,historico_parto,tipo_parto,peso_mae_kg,peso_nascimento_kg,peso_360_dias_kg
Nelore,M,Noite,Multípara,Normal,417.9,36.9,280.8
Nelore,F,Tarde,Multípara,Normal,413.1,33.3,263.9
Nelore,M,Tarde,Primípara,Normal,513.4,31.1,260.7
Nelore,M,Noite,Primípara,Normal,488.2,30.6,281.5
Nelore,M,Manhã,Multípara,Normal,527.7,33.3,273.8
Nelore,F,Manhã,Multípara,Distocia,452.2,30.6,230.8
Nelore,M,Noite,Multípara,Normal,461.5,29.6,282.1
Nelore,M,Tarde,Multípara,Distocia,439.3,30.8,250.0
Nelore,M,Noite,Multípara,Normal,438.5,37.9,275.9
Nelore,F,Noite,Multípara,Normal,408.3,38.0,292.4
Nelore,M,Manhã,Multípara,Normal,453.4,36.7,275.9
Nelore,M,Noite,Multípara,Distocia,418.4,33.4,288.7
Nelore,M,Tarde,Primípara,Normal,467.7,29.5,274.3
Nelore,M,Tarde,Primípara,Normal,456.8,28.1,265.0
Nelore,F,Tarde,Multípara,Normal,461.5,27.8,253.0
Nelore,M,Noite,Multípara,Normal,517.0,30.3,301.9
Nelore,F,Manhã,Primípara,Normal,448.5,35.0,248.4
Nelore,F,Tarde,Primípara,Distocia,480.3,33.9,248.2
Nelore,F,Tarde,Multípara,Normal,532.1,32.2,278.1
Nelore,M,Tarde,Primípara,Normal,502.3,27.6,280.3
Nelore,F,Tarde,Multípara,Normal,496.1,32.7,276.8
Nelore,M,Manhã,Multípara,Normal,437.7,31.3,282.6
Nelore,F,Manhã,Multípara,Normal,459.2,23.5,256.9
Nelore,F,Manhã,Multípara,Normal,397.3,30.9,246.4
Nelore,F,Noite,Multípara,Normal,470.0,27.5,249.3
Nelore,F,Manhã,Multípara,Normal,461.0,27.6,249.4
Nelore,F,Manhã,Multípara,Normal,450.9,29.2,246.6
Nelore,F,Noite,Multípara,Normal,491.1,28.5,262.6
Nelore,F,Manhã,Multípara,Normal,401.7,29.9,245.3
Nelore,F,Noite,Primípara,Normal,515.4,28.3,264.9
Nelore,M,Tarde,Primípara,Normal,486.1,24.9,278.9
Nelore,M,Noite,Primípara,Normal,447.2,35.1,292.4
Nelore,F,Manhã,Primípara,Normal,444.1,25.5,244.0
Nelore,F,Manhã,Multípara,Normal,469.2,27.1,233.6
Nelore,F,Tarde,Multípara,Normal,510.8,29.0,250.1
Nelore,M,Noite,Multípara,Normal,454.1,31.7,289.9
Nelore,F,Tarde,Multípara,Normal,455.8,34.4,278.9
Nelore,M,Manhã,Multípara,Normal,450.7,32.8,258.8
Nelore,M,Tarde,Multípara,Normal,521.3,33.7,288.1
Nelore,M,Tarde,Multípara,Normal,435.2,32.8,280.1
Nelore,M,Tarde,Primípara,Normal,448.8,31.2,267.3
Nelore,M,Tarde,Primípara,Normal,508.5,31.4,277.5
Nelore,F,Noite,Multípara,Distocia,455.9,24.2,232.1
Nelore,F,Tarde,Multípara,Normal,495.5,29.3,273.9
Nelore,F,Manhã,Primípara,Normal,413.5,32.0,225.1
Nelore,F,Tarde,Primípara,Normal,441.8,40.3,272.5
Nelore,F,Manhã,Multípara,Normal,509.4,26.4,255.4
