id_animal,ano_nascimento,peso_nascer,gpd_pre_desmama,peso_desmama,gpd_pos_desmama,peso_adulto,custo_mantenca,receita_estimada,lucro,sexo_M,predicao_lucro,residuos,residuos_estudentizados,distancia_cook,alavancagem
1,2021,30.943642138975648,0.808356716219527,198.5827900716302,0.5373486798854339,376.5135472771224,1997.5924804182748,3137.61289397602,1140.0204135577449,0,1495.912150687106,-355.8917371293612,-0.8980470070415725,0.0006989535803200988,0.004313782285574871
2,2018,27.91074183033135,0.6441022261306054,177.24495500847237,0.272941828127463,282.05352186681915,2039.7811236330167,2350.4460155568263,310.66489192380914,1,887.1963396262441,-576.531447702435,-1.4553895376472494,0.0016160426378638022,0.0038044920218375288
3,2022,28.12076951748419,0.4172327232422874,141.27910597154246,0.2779456778353625,263.405292231306,1813.4565725937653,2195.0441019275504,381.58752933378514,1,293.9445831855147,87.64294614827043,0.22210130725612479,0.0001353988984827913,0.013525509107778484
4,2019,34.9563967938668,0.9284951024150806,241.58758134730124,0.8447246676659931,524.8746662510007,2276.4021654233934,4373.955552091673,2097.5533866682795,1,2361.044489479056,-263.49110281077674,-0.6652697256827294,0.0005190283738997114,0.005826188542457483
5,2021,29.25732708333115,0.9505565941529892,242.17632479343928,0.6232168163100339,446.3884119424236,1951.616275656008,3719.9034328535295,1768.2871571975218,1,1906.4936438797235,-138.20648668220178,-0.34852976475207115,9.18407350925999e-05,0.0037627447774698456
6,2017,31.098123168833524,0.8937416127832583,234.3256438942526,0.5115041313581328,423.3096712423056,1958.469599192419,3527.580593685881,1569.1109944934617,0,1841.1603678797062,-272.0493733862445,-0.6859347596973229,0.00028921817261676495,0.0030624340685062625
7,2021,27.571772149084573,0.9218432722992994,221.00421535956383,0.6859083434094669,460.7817102879149,2111.6439119303664,3839.847585732624,1728.203673802258,0,1525.876674017337,202.32699978492087,0.5108850389455424,0.00032482304708354194,0.006179534087045274
8,2022,30.27622233613276,0.883963335811713,241.02864012162937,0.6323905673284517,455.2151634195497,2066.434300944156,3793.459695162914,1727.0253942187585,1,1859.4511741104857,-132.4257798917272,-0.33418109617012043,0.00011546184137135163,0.005138300874921713
9,2019,31.334284927007587,0.8238759296793207,217.46686053104733,0.5075185905069883,380.94623422068383,1924.2935928820905,3174.551951839032,1250.2583589569415,1,1726.2799457870312,-476.02158683008975,-1.2003486914346717,0.0006639216648164285,0.0022996645420749876
10,2018,24.964764196034658,0.7461449715302516,206.2100634101004,0.4057221199606489,355.38062324971133,1890.905303330885,2961.505193747594,1070.599890416709,1,961.9093136858434,108.6905767308657,0.27477455535042083,0.00013295560696925625,0.008719995678934576
11,2022,31.89609041540213,0.8983213123930617,226.1793020537532,0.882711879914357,516.0644226625827,2252.6067627869493,4300.536855521523,2047.9300927345732,1,1962.2546823710668,85.67541036350644,0.215991968118429,3.036757977572097e-05,0.0032409985341930077
12,2022,29.46094727054765,0.6928200305237622,200.9976490610003,0.5892662649791999,412.4925513896045,1966.146844564768,3437.437928246704,1471.2910836819358,1,1227.9929959752337,243.29808770670206,0.6142808343663713,0.00044629259235635466,0.0058752288247550626
13,2017,27.74770206318525,0.6809158411375167,188.441272654342,0.3138252286052022,306.8431890159838,1766.1268947475708,2557.0265751331985,790.8996803856278,1,996.6194918990933,-205.71981151346552,-0.5188497856893699,0.00020893729083380972,0.0038628046421510546
14,2020,31.43214505586762,0.8435084085981861,222.9932315483056,0.6684616889216618,425.2576390066474,1924.821604382205,3543.8136583887285,1618.9920540065236,0,1719.6748758083372,-100.68282180181359,-0.25375658122512346,3.457018452343165e-05,0.0026746402257834343
15,2019,32.92001671564851,0.8317839317137273,220.9668380103564,0.9823688598482788,535.9436441067432,2210.1224864962537,4466.197034222861,2256.074547726607,1,1897.1943051697288,358.8802425568781,0.9051737287817728,0.0005573465636973237,0.0033890520820061736
16,2016,34.23147640988313,0.88558057206132,228.21516759816475,0.7787817018856832,476.8944318121931,2297.925563295877,3974.120265101609,1676.1947018057322,0,2072.461363255715,-396.2666614499826,-1.0003443785396553,0.000995288328407453,0.004948410753228133
17,2022,27.489842767200138,0.8513358505562723,225.8746246518083,0.5489873799439391,428.1848971328393,1961.4236082296088,3568.207476106994,1606.783867877385,0,1401.885792239225,204.89807563815998,0.5170776828698804,0.00027008819584065487,0.005021780201920706
18,2020,29.74796257795905,0.8499371759664708,220.85764848970229,0.6208945467960305,428.7886709652185,2229.408957693938,3573.238924710154,1343.8299670162155,1,1653.7829579827064,-309.9529909664909,-0.7812151020475562,0.00026751773292979936,0.0021860533642399926
19,2016,29.686480995953826,0.6925566368295996,169.3868171014725,0.4652820874552795,350.9627185439743,1920.071185496787,2924.689321199786,1004.6181357029988,0,1023.7074185900642,-19.08928288706545,-0.04819807612482211,2.9505595088291866e-06,0.006304239900768248
20,2019,30.9766129878311,0.7328359224823511,185.9346650154688,1.0151172096986787,488.3789692202645,2058.073540066354,4069.824743502205,2011.7512034358504,0,1292.096088055067,719.6551153807834,1.8177549199276541,0.0025065642351945086,0.0037873445946702035
21,2015,32.48549318253002,0.76883589158317,202.45426439745376,0.661218675584267,434.9416902905226,1930.902321185452,3624.514085754355,1693.611764568903,0,1571.1369778113221,122.47478675758089,0.30879737937786506,6.514222182692518e-05,0.0034010323001558125
22,2020,35.294409082492244,0.6935299999952262,193.4157009468142,0.5283927467167641,376.4577698441385,1931.9479437880511,3137.1480820344877,1205.2001382464362,0,1628.1424956293422,-422.94235738290604,-1.0700370274774975,0.002119988103456621,0.00917416220263324
23,2023,31.5114130320801,0.8109376897187789,211.3556199618245,0.8428600498305682,503.100052880812,2028.1059994417703,4192.500440673432,2164.394441231662,0,1609.2422017524432,555.1522394792187,1.400323645897228,0.0009431182745246455,0.0024013440414615665
24,2015,31.368225915087304,0.7257410772297898,203.52561845169245,0.5028372644648834,375.3060429552135,1866.729169145188,3127.5503579601123,1260.8211888149249,0,1392.8789053258097,-132.0577165108848,-0.3331163196741584,9.652894958050526e-05,0.004326775654663106
25,2017,29.7804737328996,0.7484597363415129,182.8482034523083,0.5459602622249513,386.6013459298498,1798.7165883552536,3221.6778827487483,1422.9612943934949,1,1282.8746865941746,140.0866077993203,0.35363496483486956,0.00014625503403775143,0.005808425842629435
26,2021,28.27830588655818,0.928503819254999,234.41281142214925,0.6250444644466998,445.0273625370585,2210.644503509432,3708.561354475488,1497.9168509660558,0,1662.3486478458535,-164.43179687979773,-0.41476140722207805,0.00014439220472929973,0.004175785810401925
27,2018,26.251077555274872,0.8645724182080711,203.2674515758725,0.5457395997803288,377.8484904100342,2059.856782645439,3148.7374200836184,1088.8806374381793,0,1215.8630921298034,-126.98245469162407,-0.32096304339432635,0.0001738082751889818,0.008357833061056474
28,2023,28.532619679044508,0.8319319430447752,219.31602608232063,0.7257942664002353,483.8424147856416,2107.77093450502,4032.02012321368,1924.2491887086608,0,1425.2805561218788,498.96863258678195,1.2588307615782004,0.0009962221495967297,0.0031353268582479214
29,2017,28.307527553552006,0.9086577450986592,229.8699843087344,0.6468765753648414,447.8524234139528,2023.0213119283355,3732.103528449606,1709.0822165212708,1,1684.1918634774709,24.890353043799905,0.06276070680297047,2.8726846160298144e-06,0.0036296780811977646
30,2019,33.48612298482919,0.6464529781570891,182.59812817401087,0.706988678837189,421.2835467202862,2004.982226287664,3510.696222669052,1505.7139963813884,0,1327.0001181104885,178.71387827089984,0.4514560101763993,0.000291545457430966,0.0070958605165019496
31,2017,30.86874072797689,0.9624668463742834,237.57571478185827,0.8188549818860589,521.6106824973529,2048.241926107586,4346.75568747794,2298.513761370354,1,2050.54915007593,247.96461129442423,0.6254925033708578,0.0003181784706096824,0.004047338073798683
32,2021,29.187086471742784,0.8232816893791184,222.31196069461967,0.4445561096107139,372.8497695765935,1834.034573493456,3107.081413138279,1273.0468396448232,0,1479.4135249317605,-206.36668528693735,-0.5204637319105496,0.00020647745531624293,0.0037939579446306035
33,2019,31.896260435049747,0.8157787514436351,223.04359555068396,0.8345564617443629,506.9608602282202,2180.094443596955,4224.6738352351695,2044.5793916382145,1,1785.1674044595768,259.4119871786377,0.6542344400487526,0.00030964035001473353,0.0036020013323694107
34,2023,24.75919676749006,0.5473229130401134,155.86536293000896,0.1453052231399584,231.67514056304225,1751.7878991664247,1930.6261713586853,178.83827219226055,1,321.7614041946987,-142.92313200243814,-0.3612712453740143,0.00022184339787088635,0.00841972533100045
35,2021,29.840763436044615,0.7250008465775538,191.05480324242345,0.7359750050356078,436.9015224350172,2056.855398224909,3640.8460202918095,1583.9906220669009,0,1200.235703651289,383.7549184156119,0.9674532779227365,0.00043619497483513264,0.002324619980225595
