Raca,Idade,PN,Brix,Isolamento,Sexo,Novilha,GMD_base,GMD,Peso
Cruzado ½ sangue,12,28.901884348347973,19.927529553925257,4,1,0,0.7196922995181734,0.7355228288926569,40.9711410217942
Guzerá,83,28.724188530553956,26.124892914370324,2,0,0,0.5798691056761898,0.5208962022565737,72.35835141614335
Angus/Simental,24,32.58786536344537,24.455198261361186,4,1,0,0.6042822102878088,0.5126851963285344,48.101306650600534
Cruzado ½ sangue,28,31.8545354565393,24.737466828702654,0,0,1,0.7238576815374594,0.6045513399508178,50.017523273358435
Nelore,114,26.948819260085543,31.803773930746768,1,1,1,0.48492787692437705,0.5506852084933056,88.95385621844616
Angus/Simental,71,38.73944296721862,18.92364154056075,1,1,1,0.7739259899617211,0.752540878355051,91.1939523224041
Cruzado ½ sangue,166,30.438039712578295,23.890266583265106,2,0,0,0.6188837683291263,0.4877765700763924,112.81297222213342
Cruzado ½ sangue,58,31.91642549171625,25.21774209125526,2,1,1,0.8122367404162882,0.7796582003309258,79.18766518424172
Nelore,130,28.173544678777052,21.05490753384666,0,0,0,0.5081925371018855,0.3716795157344285,78.98386343850493
Holandês/Girolando,83,36.3280612130435,24.113306980331764,0,0,0,0.7005403617029001,0.5739408051396325,83.31130176119363
Guzerá,119,27.455281605491336,17.60020266366262,2,0,0,0.5576263499681456,0.3792118684713846,73.01950859459728
Angus/Simental,108,39.072747686768416,29.63962486910011,0,0,0,0.6194947322358685,0.6627361633828459,112.10835435525411
Holandês/Girolando,85,39.55693027373416,21.273541789878266,1,1,0,0.6716214386259014,0.6969078564611673,97.83418550809122
Cruzado ½ sangue,171,31.278166666152167,32.12560065911401,1,1,0,0.6106756626914549,0.741845205254143,155.2963466801037
Guzerá,62,28.389632091559992,23.87010270433018,1,0,0,0.4511877190764325,0.34132873631160676,47.5363360761243
Nelore,32,28.174580146650364,28.112214261596733,3,1,0,0.5060276998516761,0.511225555613377,43.93120931990846
Holandês/Girolando,122,38.46651356087031,23.786788524035384,0,1,0,0.8078816787857315,0.8693456116421797,146.182196029267
Nelore,152,29.366415104608443,23.87702467095788,0,1,0,0.4901449265239667,0.4854553602866083,106.30307360710314
Cruzado ½ sangue,8,39.786346731883405,21.66388266711197,2,0,0,0.7023048670938766,0.6524572460851341,41.615886678727925
Holandês/Girolando,81,33.29821895989398,24.47649571746511,0,1,1,0.7161784252335817,0.7408504680088932,91.81374433378937
Cruzado ½ sangue,160,36.07942757222142,25.27199477765619,1,0,1,0.4863321872647307,0.36054664128841124,92.87223393570909
Guzerá,135,20.320486516285683,20.86296596433928,3,1,0,0.5493210966505119,0.4974069555507178,89.45721809639919
Angus/Simental,178,38.977729212028805,23.499822336560463,2,1,0,0.5574459808778651,0.5370831946759947,133.25826152588462
Angus/Simental,96,45.08787272423929,21.559604535771545,1,1,0,0.7922305602389934,0.8060547238291362,121.39479537446769
Cruzado ½ sangue,119,34.95467409786923,33.19865627845935,4,0,0,0.5842089192556067,0.41359877981966137,80.64294745353337
Nelore,55,29.597187774889274,23.641076920353527,4,0,0,0.5508367253256453,0.28972299605486135,46.740470847839795
Holandês/Girolando,170,37.19775265598462,30.18092860678624,2,1,0,0.5311578057929711,0.5405008962781335,128.6794073367759
Nelore,66,29.10866520170994,23.217510676769248,4,0,0,0.5622382323604816,0.3404561038163069,49.9436554661372
Nelore,133,28.117780146088254,25.037150566139633,1,0,0,0.642695041797062,0.5271430335178158,97.57902054275252
Cruzado ½ sangue,73,29.856093568274577,18.714543713418923,2,1,1,0.5512338029175117,0.470406902816141,67.01328622868103
Cruzado ½ sangue,101,31.84049753810052,22.211709632528542,3,1,0,0.5732116205241587,0.5793571633229901,87.84335376292292
Angus/Simental,129,38.89271522281898,24.842138683156985,2,0,0,0.7722814177102613,0.7128147756918537,128.74167220930912
Guzerá,92,23.69834879440808,30.344015323839468,4,0,0,0.5455637407464592,0.359760394725531,59.92693622782099
Guzerá,163,23.58115453794595,24.887931110705086,1,1,0,0.26875296665119186,0.2558211442431735,65.46943811963038
Holandês/Girolando,76,33.19878281203913,29.534881444771997,1,0,0,0.9117717318350189,0.9377065556996643,106.1388662869934
Nelore,116,30.367537591311137,26.56291644081168,1,0,0,0.6028553483548331,0.38024231968067723,75.48002644928391
Nelore,62,30.90863141688471,30.509605357858742,2,0,0,0.6196918662452962,0.6205002760969721,69.2913121541621
Holandês/Girolando,74,41.15830222118259,23.763831130779778,1,0,0,0.6634928486338681,0.4770992489010005,75.59289884198523
Nelore,79,32.37809672455033,33.560890842607215,1,1,0,0.36446464914477555,0.3013537981641516,58.26394183572785
Cruzado ½ sangue,23,33.35147054832291,22.05841518834351,1,0,1,0.7142194267375264,0.5911949906131552,49.854796751953366
Guzerá,17,27.17603281209727,20.934152663209325,1,0,1,0.4463071373180658,0.5357853740789521,38.9948550389797
Cruzado ½ sangue,120,34.21534970255025,19.159788601243864,1,1,0,0.6998324863601674,0.8553456123637965,133.8931441020866
Cruzado ½ sangue,118,32.63383992232717,33.32409868623228,1,0,0,0.6159318822710999,0.6550991001073353,113.19781127960356
Guzerá,119,24.407534515611058,27.27779029047159,2,0,0,0.5226137410160558,0.481692711860635,80.83412909153252
Cruzado ½ sangue,4,41.85661046316764,22.663517066478768,1,1,0,0.554750398044983,0.43409527473694254,41.70541771825332
Cruzado ½ sangue,59,31.192196080585965,28.99609078749398,1,1,0,0.7350827836946825,0.7886156183001263,77.29719831837224
Guzerá,36,24.002366866638692,26.750768740471127,4,0,0,0.3871039912515212,0.1926678072476657,33.01622901567649
Nelore,140,30.519034382075375,31.86450988550236,4,0,0,0.774556942533919,0.568952415615106,111.52353302826037
Cruzado ½ sangue,155,34.00741766118002,17.808668669040355,2,0,1,0.8861743498485714,0.7681759343846247,152.43622146116118
Nelore,45,24.083229583363853,22.93855956674298,4,0,0,0.7132699585466511,0.5174582769244012,49.46301671215684
Nelore,120,32.92937389097308,22.149914464228697,0,1,1,0.677547898577451,0.7723916911834163,125.96602828488162
Nelore,24,28.670318986272083,16.105269294365595,0,1,0,0.5415451641766359,0.44187932135635377,37.84299403497614
Cruzado ½ sangue,50,28.556275619137118,28.241308819118778,1,1,0,0.7683201376321929,0.8138036690581089,67.47637086464634
Cruzado ½ sangue,25,37.755136457415496,22.918413776786565,3,1,1,0.629420585189626,0.46592963486207556,50.42896444002144
Cruzado ½ sangue,51,35.50270228638462,26.95852481994625,1,0,0,0.46911307035301625,0.40625925367965326,56.01562988450792
Cruzado ½ sangue,121,27.941832032208342,33.439087737318445,1,1,0,0.8053521555433757,0.8796004445763519,130.93472294241283
Holandês/Girolando,163,48.88591420128862,22.587025232689566,0,1,1,0.8098148132360882,0.7466042346926619,172.70030818886627
Holandês/Girolando,37,43.293986841830964,22.31538806937138,0,0,0,0.676396002619625,0.6901653499033649,67.62941721669442
Nelore,98,28.964313595312337,24.474656678895983,1,1,0,0.42748157426688504,0.4424438312079359,76.30410817366204
Nelore,126,34.56576581967623,27.94898941193364,3,0,0,0.49137993234210264,0.33043096195181876,72.69259206271862
Cruzado ½ sangue,171,33.63719113531856,21.733147898759402,0,1,0,0.4396739856623739,0.46849448257901904,113.29797616535578
Holandês/Girolando,110,39.85958462447984,21.476153611471478,1,1,0,0.7886842980510674,0.8022724539790563,126.35961035107795
Holandês/Girolando,46,36.698499419890055,28.228757080965465,2,0,0,0.4956194688106193,0.3666500619674932,51.1258459694514
Cruzado ½ sangue,112,35.327401757228316,25.51455729535214,0,1,1,0.6715513957161344,0.7041480683328877,112.97500861861579
Holandês/Girolando,58,42.3830148366199,15.821086947980717,1,0,0,0.5829752650053359,0.5083633091680112,76.294505790957
Holandês/Girolando,175,40.073400699448555,19.09843280212357,1,1,0,0.5159291038250602,0.48822336646395037,125.87091525583863
Holandês/Girolando,72,36.050068230661985,30.00494345530884,2,0,0,0.7074108357270358,0.7706081013498922,89.55458143086065
Guzerá,123,26.389789562498223,25.60771313231525,0,0,0,0.468289058395357,0.5087236784649172,84.39123098783952
Nelore,5,28.75570424983252,20.951216275851003,1,0,1,0.6338189105425368,0.5191043644844023,27.047819706385315
