Raca,Idade,PN,Brix,Isolamento,Sexo,Novilha,GMD_base,GMD,Peso
Cruzado ½ sangue,159,36.851842292997794,18.962347733175466,1,1,1,0.5172472755549491,0.4394121774191211,144.49121488381786
Guzerá,12,23.826166845446828,18.747329127200253,1,0,0,0.7042708253701593,0.6720136420620044,32.774142785808586
Angus/Simental,72,34.158083498356646,23.381556965520364,2,0,1,0.6947010444629617,0.6490269536084676,84.02717446653321
Cruzado ½ sangue,83,34.83882382005995,19.24447938560958,3,1,0,0.7056624092105406,0.6850480040640187,94.55231384331059
Nelore,144,32.4599363486286,21.188980160715182,1,1,1,0.5165347142318395,0.3838576852838488,106.85392934993796
Angus/Simental,24,38.181154259002085,20.9036564600718,4,1,1,0.6792021776791194,0.4537609327369408,53.5542396083412
Cruzado ½ sangue,79,27.85442665966521,22.237968556608028,3,1,0,0.5899011971063385,0.38974492965304053,64.88541367738216
Cruzado ½ sangue,28,27.558966534842693,29.29001732609249,5,0,1,0.4695169633211824,0.27879222827124034,41.55183107925818
Nelore,142,24.005022592348155,26.647790357722066,1,1,0,0.5339378859879231,0.5897074416321683,73.20321310597502
Holandês/Girolando,114,31.161889435303095,24.064517661104016,1,0,0,0.6331941197532656,0.6073209154910405,70.08896047512229
Guzerá,90,26.32845607834126,22.155894877676648,1,0,0,0.6112948283725538,0.5710807767232233,76.57947224472929
Angus/Simental,71,43.062697647686115,22.267069373507915,1,0,0,0.5823794864777807,0.6116657184990423,83.84496987028345
Holandês/Girolando,28,39.93292106537596,25.3109858798078,1,1,0,0.6136280745811917,0.6780448209689086,63.792057418269316
Cruzado ½ sangue,166,23.958340970648592,26.336676293409162,3,0,0,0.541171548657051,0.4659005217088319,101.70752314111287
Guzerá,117,25.427718618996355,20.369529975597597,3,0,0,0.6370403874311219,0.509828762731608,95.0759678930631
Nelore,58,28.430203511785876,24.145923022456927,2,1,0,0.4630591555145329,0.38613079288793123,35.75620421497763
Holandês/Girolando,75,50.479993751127196,15.873521725347892,2,1,1,0.7446644821435058,0.6728688234768472,100.7973365862404
Nelore,131,23.900017304781553,24.84685513668239,0,1,0,0.6470161473405981,0.7379574170757748,96.1891012126099
Cruzado ½ sangue,130,31.437289589603218,27.048596967834744,5,1,1,0.6239264797443052,0.3698495887900485,86.52475905735467
Holandês/Girolando,83,48.52926340272282,22.8797254924765,0,0,1,0.5216667348918462,0.4613907197689372,59.6408472255758
Cruzado ½ sangue,55,34.79991336538619,31.26610798456042,1,1,0,0.4899430755359941,0.5618202153306009,69.80355664225749
Guzerá,119,27.689939220549274,20.475046210255798,1,1,0,0.5816775861556276,0.6622499405647515,81.04078621844315
Angus/Simental,119,38.51562996660745,24.869761661213044,0,1,1,0.5750316878380164,0.5347251898496177,95.50161630425569
Angus/Simental,108,39.48474592395769,23.856701013336178,1,1,0,0.7650830602718899,0.7424732859367597,134.44627186331607
Cruzado ½ sangue,14,36.11043812111414,23.598809330226366,1,0,0,0.6525784020802656,0.625793470994434,46.22307958328662
Nelore,86,26.16679788387532,23.54271132798101,1,0,1,0.5877132484311027,0.5265545934678898,47.20674546015448
Holandês/Girolando,111,44.390292894541,24.428420120037888,3,1,0,0.7342322529022771,0.5979929772676014,99.51380718899588
Nelore,172,24.19448944090061,27.3918349738548,0,0,0,0.4566329215582099,0.5748538296843684,91.78948985500207
Nelore,95,30.149287904910384,29.510944945098977,2,0,1,0.4524471820985259,0.34954565965534734,37.11514999852737
Cruzado ½ sangue,62,33.714963853145306,23.99099902198337,1,0,0,0.7186419847510443,0.7029344370051668,78.76869205821711
Cruzado ½ sangue,101,30.53482764723157,27.261264288686533,4,1,1,0.5707720928379164,0.47832251002415666,87.79060783257756
Angus/Simental,32,37.89791626103459,21.19293221493287,1,1,0,0.40373292341940786,0.3652040215382767,53.54390232156416
Guzerá,17,24.132379542003342,27.063821810904933,0,1,0,0.5616317532989672,0.6054151853422923,38.37158438420796
Guzerá,123,22.784896019414766,20.952033904692037,3,1,0,0.40155517763346704,0.2166689327462785,49.22532633039731
